,pick,SeenTotal,SeenCount,ALSA
110,Garruk's Uprising,52664,9885,5.32766818411735
111,Genesis Wave,32025,5293,6.050443982618553
112,"Ghalta, Primal Hunger",5269,2172,2.4258747697974217
113,"Giada, Font of Hope",3953,2019,1.95789995047053
114,Giant Growth,232106,33038,7.0254252678733575
115,Gleaming Barrier,285646,35182,8.119094991757148
116,Gnarlid Colony,181431,31900,5.687492163009404
117,Goblin Boarders,281363,40738,6.906647356276695
118,Goblin Bushwhacker,2261,428,5.2827102803738315
119,Goblin Negotiation,82817,12331,6.71616251723299
120,Goblin Surprise,261582,39963,6.545604684333008
121,Goldvein Pick,239047,42232,5.660328660731199
122,Good-Fortune Unicorn,51117,9478,5.393226419075754
123,Gorehorn Raider,301396,46987,6.414455062038436
124,Grappling Kraken,85645,14121,6.065080376743857
125,Grim Tutor,1601,311,5.147909967845659
126,Grow from the Ashes,209283,29410,7.116048962937776
127,Guarded Heir,51911,13094,3.9644875515503286
128,Gutless Plunderer,245316,39764,6.169298863293431
129,Hare Apparent,239805,35165,6.819422721455993
130,Healer's Hawk,94123,27574,3.4134692101254807
131,Heartfire Immolator,45988,12386,3.712901663168093
132,Helpful Hunter,98447,29325,3.3571014492753624
133,Herald of Eternal Dawn,2361,1058,2.231568998109641
134,Heraldic Banner,62321,12951,4.812060844722415
135,Hero's Downfall,19392,7754,2.5009027598658755
136,Heroic Reinforcements,72060,14649,4.919107106287119
137,Hidetsugu's Second Rite,127961,16164,7.916419203167533
138,High Fae Trickster,6972,2823,2.46971307120085
139,High-Society Hunter,3641,2145,1.6974358974358974
140,Homunculus Horde,15566,4196,3.709723546234509
141,Hungry Ghoul,207938,43396,4.7916397824684305
142,Icewind Elemental,286127,45327,6.312506894345534
143,Imprisoned in the Moon,73445,11714,6.26984804507427
144,Incinerating Blast,296315,41759,7.095835628247803
145,Infernal Vessel,38122,11554,3.299463389302406
146,Infestation Sage,210201,43830,4.795824777549623
147,Inspiration from Beyond,118287,17091,6.921011058451817
148,Inspiring Call,97815,12554,7.7915405448462645
149,Inspiring Paladin,190161,33850,5.617754800590842
150,Involuntary Employment,306239,44529,6.877293449212872
151,Island,454464,43520,10.44264705882353
152,Joust Through,36846,10116,3.6423487544483986
153,Juggernaut,106977,14603,7.325686502773403
154,Jungle Hollow,153156,23431,6.536468780675174
155,"Kaito, Cunning Infiltrator",1494,914,1.6345733041575492
156,"Kellan, Planar Trailblazer",6400,2786,2.297200287150036
157,"Kiora, the Rising Tide",4047,2281,1.7742218325295922
158,"Koma, World-Eater",6901,2583,2.6716995741385987
159,"Krenko, Mob Boss",6396,2677,2.3892416884572283
160,"Kykar, Zephyr Awakener",8025,2956,2.7148173207036534
161,"Lathril, Blade of the Elves",14437,3366,4.289067142008318
162,Leyline Axe,4030,2204,1.8284936479128857
163,Lightshell Duo,320900,49240,6.517059301380991
164,"Liliana, Dreadhorde General",875,704,1.2428977272727273
165,Llanowar Elves,77302,21287,3.63141823648236
166,"Loot, Exuberant Explorer",4999,2139,2.337073398784479
167,Luminous Rebuke,119318,31108,3.8356049890703354
168,Lunar Insight,31520,5851,5.387113313963425
169,Macabre Waltz,306491,45113,6.793850996386851
170,Make Your Move,192662,34548,5.576646983906449
171,Marauding Blight-Priest,239170,35122,6.809691930983429
172,Meteor Golem,80251,15325,5.236606851549755
173,Micromancer,60139,15206,3.9549519926344865
174,Midnight Snack,100226,13466,7.442893212535274
175,Mild-Mannered Librarian,53493,11955,4.474529485570891
176,Mischievous Mystic,24357,9296,2.620159208261618
177,Mischievous Pup,75917,13522,5.61433219937879
178,Mocking Sprite,256106,35570,7.2000562271577175
179,Mossborn Hydra,4538,1952,2.324795081967213
180,Mountain,461420,44168,10.446929904002898
181,"Muldrotha, the Gravetide",5580,1626,3.4317343173431736
182,Needletooth Pack,46381,9926,4.672677815837195
183,Nessian Hornbeetle,36141,9697,3.7270289780344434
184,Nine-Lives Familiar,12901,3757,3.4338568006388077
185,"Niv-Mizzet, Visionary",8181,1898,4.310326659641728
186,Omniscience,19072,3184,5.989949748743719
187,Overrun,50654,10505,4.821894336030462
188,Painful Quandary,24698,4366,5.656894182317911
189,Paradise Druid,824,298,2.7651006711409396
190,Perforating Artist,60577,13351,4.537263126357576
191,Phyrexian Arena,8214,2873,2.8590323703445875
192,Pilfer,287338,44395,6.472305439801779
193,Plains,446080,42784,10.426327599102468
194,Preposterous Proportions,26654,5088,5.238600628930818
195,Prideful Parent,155794,34199,4.555513319102897
196,Progenitus,19732,3369,5.856930840011873
197,Quakestrider Ceratops,82155,11914,6.895668960886352
198,Quick-Draw Katana,300721,36284,8.287978172197112
199,Quilled Greatwurm,1611,894,1.8020134228187918
200,Raise the Past,22403,4188,5.349331423113658
201,Ravenous Amulet,120040,18194,6.597779487743212
202,Reassembling Skeleton,58084,12651,4.591257608094222
203,Reclamation Sage,59019,10672,5.5302661169415295
204,Refute,213843,44691,4.784923138887025
205,Resolute Reinforcements,50380,12051,4.180565928138743
206,Revenge of the Rats,97581,14795,6.595539033457249
207,Rise of the Dark Realms,9256,2156,4.293135435992578
208,Rite of the Dragoncaller,6554,1725,3.7994202898550724
209,Rogue's Passage,100809,14947,6.7444303204656455
210,"Ruby, Daring Tracker",61212,11173,5.478564396312539
211,Rugged Highlands,160350,22480,7.133007117437723
212,Run Away Together,308375,43469,7.094136050978858
213,Rune-Scarred Demon,7805,3014,2.5895819508958193
214,Rune-Sealed Wall,95618,15538,6.153816449993564
215,Sanguine Syphoner,233373,35163,6.636891050251685
216,Savannah Lions,77778,12821,6.066453474767958
217,Scavenging Ooze,4740,2310,2.051948051948052
218,Scoured Barrens,143502,24739,5.8006386676906905
219,Scrawling Crawler,4773,2401,1.9879216992919617
220,Searslicer Goblin,5982,2758,2.168963016678753
221,Secluded Courtyard,116745,13779,8.472675811016765
222,Seeker's Folly,72222,15016,4.80966968566862
223,Seismic Rupture,108958,15258,7.141040765500065
224,Self-Reflection,118344,17181,6.888074035271521
225,Serra Angel,31562,8657,3.6458357398636942
226,Shivan Dragon,75326,11886,6.337371697795726
227,Sire of Seven Deaths,684,599,1.1419031719532555
228,Skyknight Squire,3776,2053,1.839259620068193
229,Skyship Buccaneer,55945,13635,4.103043637697103
230,Slagstorm,15137,3991,3.7927837634678028
231,Slumbering Cerberus,68152,14560,4.680769230769231
232,Snakeskin Veil,54747,11525,4.750281995661605
233,Solemn Simulacrum,3520,1999,1.7608804402201101
234,Soul-Shackled Zombie,292179,46462,6.288558391804055
235,Soulstone Sanctuary,18896,4966,3.8050745066451874
236,Sower of Chaos,354219,42841,8.268224364510631
237,Spectral Sailor,33420,10874,3.0733860584881367
238,Sphinx of Forgotten Lore,1911,1068,1.7893258426966292
239,Sphinx's Tutelage,2271,422,5.381516587677726
240,Spinner of Souls,3931,2148,1.830074487895717
241,Spitfire Lagac,327781,36850,8.895006784260515
242,Squad Rallier,259678,41436,6.266965923351675
243,Stab,95699,30213,3.167477575877933
244,Strix Lookout,200305,38998,5.1362890404636135
245,Stroke of Midnight,49595,8327,5.955926504143148
246,Stromkirk Bloodthief,63796,11841,5.387720631703403
247,Strongbox Raider,67996,13539,5.022232070315385
248,Sun-Blessed Healer,20817,8205,2.537111517367459
249,Sure Strike,303996,38839,7.827081026802956
250,Swamp,448094,42915,10.441430735174182
251,Swiftblade Vindicator,23943,4934,4.852655046615323
252,Swiftfoot Boots,81804,11343,7.211848717270564
253,Swiftwater Cliffs,180480,26538,6.800813927198734
254,Sylvan Scavenging,3522,1883,1.8704195432819968
255,"Tatyova, Benthic Druid",44464,10289,4.321508407036641
256,Temporal Manipulation,737,288,2.5590277777777777
257,Think Twice,183109,40346,4.538467258216428
258,Thornwood Falls,156961,23877,6.573732043389035
259,Thousand-Year Storm,47180,7422,6.3567771490164375
260,Thrill of Possibility,291657,39147,7.450302705188137
261,Time Stop,36734,6549,5.609100626049779
262,"Tinybones, Bauble Burglar",7835,3121,2.5104133290611985
263,Tolarian Terror,221390,39729,5.5725037126532255
264,Tragic Banshee,34255,11203,3.0576631259484066
265,Tranquil Cove,158049,25711,6.147135467309711
266,Treetop Snarespinner,158933,30437,5.221703847291126
267,Twinblade Blessing,77819,10691,7.278926199607146
268,Twinflame Tyrant,1607,950,1.691578947368421
269,Uncharted Voyage,294618,51138,5.761234307168837
270,Valkyrie's Call,1723,934,1.8447537473233404
271,Vampire Gourmand,35219,11526,3.055613395800798
272,Vampire Nighthawk,15160,6740,2.249258160237389
273,Vampire Soulcaller,280672,44754,6.2714394244089915
274,Vanguard Seraph,180706,32835,5.503456677326024
275,Vengeful Bloodwitch,44331,10777,4.1134824162568435
276,Vivien Reid,1403,833,1.6842737094837936
277,Wardens of the Cycle,66905,11998,5.57634605767628
278,Wary Thespian,199189,35374,5.630943630915362
279,Wildwood Scourge,43219,8307,5.2027205970867945
280,Wind-Scarred Crag,168243,24705,6.810078931390406
281,Witness Protection,223689,35715,6.263166736665267
282,Youthful Valkyrie,36415,9804,3.7143002855977154
283,"Zimone, Paradox Sculptor",2091,1123,1.8619768477292966
284,Zombify,65654,11966,5.486712351663045
285,"Zul Ashur, Lich Lord",17512,4557,3.8428790871187184
